;LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
0;1.0;1.0;;1000.0;10.5;4.5;2.0;0.03;0.01;0.02;0.03;0.08;0.06;0.1335;7.457;0.43;60.18022;10500.0
1;2.0;1.0;;2000.0;10.5;4.5;2.0;0.13;0.01;0.08;0.03;0.08;0.06;0.5785;7.457;0.43;60.18022;21000.0
2;3.0;1.0;;3000.0;10.5;4.5;2.0;0.29;0.01;0.17;0.03;0.08;0.06;1.2905;7.457;0.43;60.18022;31500.0
3;4.0;1.0;;4000.0;10.5;4.5;2.0;0.52;0.02;0.3;0.03;0.08;0.06;2.314;14.914;0.43;60.18022;42000.0
4;5.0;1.0;;5000.0;10.5;4.5;2.0;0.81;0.04;0.47;0.03;0.08;0.06;3.6045;29.828;0.43;60.18022;52500.0
5;6.0;1.0;;6000.0;10.5;4.5;2.0;1.17;0.06;0.68;0.03;0.08;0.06;5.2065;44.742;0.43;60.18022;63000.0
6;7.0;1.0;;7000.0;10.5;4.5;2.0;1.6;0.1;0.91;0.03;0.08;0.06;7.12;74.57;0.43;60.18022;73500.0
7;8.0;1.0;;8000.0;10.5;4.5;2.0;2.1;0.15;1.17;0.03;0.08;0.06;9.345;111.855;0.43;60.18022;84000.0
8;9.0;1.0;;9000.0;10.5;4.5;2.0;2.66;0.21;1.47;0.03;0.08;0.06;11.837;156.597;0.43;60.18022;94500.0
9;10.0;1.0;;10000.0;10.5;4.5;2.0;3.31;0.29;1.81;0.03;0.09;0.06;14.7295;216.253;0.43;71.80961;105000.0
10;11.0;1.0;;11000.0;10.5;4.5;2.0;4.05;0.42;2.41;0.03;0.09;0.06;18.0225;313.194;0.43;71.80961;115500.0
11;12.0;1.0;;12000.0;10.5;4.5;2.0;4.87;0.6;3.15;0.03;0.09;0.06;21.6715;447.42;0.43;71.80961;126000.0
12;13.0;1.0;;13000.0;10.5;4.5;2.0;5.79;0.83;4.05;0.04;0.09;0.06;25.7655;618.931;0.43;53.85721;136500.0
13;14.0;1.0;;13999.0;10.5;4.5;2.0;6.8;1.15;5.16;0.04;0.09;0.06;30.26;857.555;0.43;53.85721;146989.5
14;15.0;1.0;;15000.0;10.5;4.5;2.0;7.91;1.56;6.57;0.05;0.09;0.06;35.1995;1163.292;0.43;43.085766;157500.0
15;16.0;1.0;;16000.0;10.5;4.5;2.0;9.1;2.12;8.36;0.05;0.09;0.06;40.495;1580.884;0.43;43.085766;168000.0
16;17.0;1.0;;17000.0;10.5;4.5;2.0;10.42;2.93;10.88;0.06;0.09;0.06;46.369;2184.901;0.43;35.904804;178500.0
17;18.0;1.0;;18000.0;10.5;4.5;2.0;11.99;5.11;17.91;0.09;0.1;0.06;53.3555;3810.527;0.43;28.034805;189000.0
18;19.0;1.0;;19000.0;10.5;4.5;2.0;13.56;7.51;24.9;0.11;0.1;0.06;60.342;5600.207;0.43;22.937569;199500.0
19;20.0;1.0;;20000.0;10.5;4.5;2.0;15.0;8.83;27.82;0.11;0.1;0.06;66.75;6584.531;0.43;22.937569;210000.0
20;21.0;1.0;;21000.0;10.5;4.5;2.0;16.49;11.99;35.99;0.13;0.1;0.06;73.3805;8940.943;0.43;19.408712;220500.0
21;22.0;1.0;;22000.0;10.5;4.5;2.0;17.37;9.31;26.66;0.09;0.09;0.06;77.2965;6942.467;0.43;23.936537;231000.0
22;23.0;1.0;;23000.0;10.5;4.5;2.0;18.51;9.81;26.88;0.08;0.09;0.06;82.3695;7315.317;0.43;26.928604;241500.0
23;24.0;2.0;;1000.0;10.5;6.0;2.0;0.05;0.01;0.03;0.05;0.12;0.06;0.2225;7.457;0.57;66.33488;10500.0
24;25.0;2.0;;2000.0;10.5;6.0;2.0;0.18;0.01;0.13;0.05;0.12;0.06;0.801;7.457;0.57;66.33488;21000.0
25;26.0;2.0;;3000.0;10.5;6.0;2.0;0.4;0.02;0.3;0.05;0.12;0.06;1.78;14.914;0.57;66.33488;31500.0
26;27.0;2.0;;4000.0;10.5;6.0;2.0;0.72;0.03;0.53;0.05;0.12;0.06;3.204;22.371;0.57;66.33488;42000.0
27;28.0;2.0;;5000.0;10.5;6.0;2.0;1.12;0.06;0.81;0.05;0.12;0.06;4.984;44.742;0.57;66.33488;52500.0
28;29.0;2.0;;6000.0;10.5;6.0;2.0;1.62;0.11;1.13;0.05;0.12;0.06;7.209;82.027;0.57;66.33488;63000.0
29;30.0;2.0;;7000.0;10.5;6.0;2.0;2.21;0.17;1.56;0.05;0.12;0.06;9.8345;126.769;0.57;66.33488;73500.0
30;31.0;2.0;;8000.0;10.5;6.0;2.0;2.93;0.31;2.41;0.06;0.12;0.06;13.0385;231.167;0.57;55.279064;84000.0
31;32.0;2.0;;9000.0;10.5;6.0;2.0;3.75;0.5;3.51;0.07;0.12;0.06;16.6875;372.85;0.57;47.382053;94500.0
32;33.0;2.0;;10000.0;10.5;6.0;2.0;4.69;0.78;4.9;0.08;0.12;0.06;20.8705;581.646;0.57;41.459297;105000.0
33;34.0;2.0;;11000.0;10.5;6.0;2.0;5.74;1.16;6.65;0.08;0.12;0.06;25.543;865.012;0.57;41.459297;115500.0
34;35.0;2.0;;12000.0;10.5;6.0;2.0;6.91;1.68;8.81;0.09;0.12;0.06;30.7495;1252.776;0.57;36.85271;126000.0
35;36.0;2.0;;13000.0;10.5;6.0;2.0;8.21;2.38;11.54;0.11;0.13;0.06;36.5345;1774.766;0.57;33.998707;136500.0
36;37.0;2.0;;13999.0;10.5;6.0;2.0;9.58;3.13;14.11;0.11;0.13;0.06;42.631;2334.041;0.57;33.998707;146989.5
37;38.0;2.0;;15000.0;10.5;6.0;2.0;10.96;3.66;15.36;0.11;0.13;0.06;48.772;2729.262;0.57;33.998707;157500.0
38;39.0;2.0;;16000.0;10.5;6.0;2.0;12.41;4.22;16.64;0.1;0.13;0.06;55.2245;3146.854;0.57;37.39858;168000.0
39;40.0;2.0;;17000.0;10.5;6.0;2.0;13.99;5.42;20.09;0.11;0.12;0.06;62.2555;4041.694;0.57;30.152216;178500.0
40;41.0;2.0;;18000.0;10.5;6.0;2.0;15.6;6.16;21.56;0.1;0.12;0.06;69.42;4593.512;0.57;33.16744;189000.0
41;42.0;2.0;;19000.0;10.5;6.0;2.0;17.26;6.57;21.79;0.09;0.12;0.06;76.807;4899.249;0.57;36.85271;199500.0
42;43.0;3.0;;1000.0;10.0;10.0;2.0;0.04;0.01;0.04;0.08;0.12;0.05;0.178;7.457;1.0;41.459297;10000.0
43;44.0;3.0;;2000.0;10.0;10.0;2.0;0.16;0.01;0.16;0.08;0.12;0.05;0.712;7.457;1.0;41.459297;20000.0
44;45.0;3.0;;3000.0;10.0;10.0;2.0;0.35;0.02;0.35;0.08;0.12;0.05;1.5575;14.914;1.0;41.459297;30000.0
45;46.0;3.0;;4000.0;10.0;10.0;2.0;0.62;0.04;0.62;0.08;0.12;0.05;2.759;29.828;1.0;41.459297;40000.0
46;47.0;3.0;;5000.0;10.0;10.0;2.0;0.97;0.07;0.94;0.07;0.12;0.05;4.3165;52.199;1.0;47.382053;50000.0
47;48.0;3.0;;6000.0;10.0;10.0;2.0;1.39;0.12;1.26;0.07;0.12;0.05;6.1855;89.484;1.0;47.382053;60000.0
48;49.0;3.0;;7000.0;10.0;10.0;2.0;1.88;0.18;1.6;0.06;0.12;0.05;8.366;134.226;1.0;55.279064;70000.0
49;50.0;3.0;;8000.0;10.0;10.0;2.0;2.49;0.34;2.7;0.08;0.12;0.05;11.0805;253.538;1.0;41.459297;80000.0
50;51.0;3.0;;9000.0;10.0;10.0;2.0;3.27;0.76;5.33;0.13;0.13;0.05;14.5515;566.732;1.0;28.768137;90000.0
51;52.0;3.0;;10000.0;10.0;10.0;2.0;4.16;1.4;8.8;0.17;0.13;0.05;18.512;1043.98;1.0;21.999163;100000.0
52;53.0;3.0;;11000.0;10.0;10.0;2.0;5.18;2.31;13.21;0.22;0.13;0.05;23.051;1722.567;1.0;16.999353;110000.0
53;54.0;3.0;;12000.0;10.0;10.0;2.0;6.33;3.56;18.72;0.26;0.14;0.05;28.1685;2654.692;1.0;16.075289;120000.0
54;55.0;3.0;;13000.0;10.0;10.0;2.0;7.62;5.26;25.49;0.3;0.14;0.05;33.909;3922.382;1.0;13.931916;130000.0
55;56.0;3.0;;13999.0;10.0;10.0;2.0;9.06;7.5;33.76;0.34;0.15;0.05;40.317;5592.75;1.0;13.633207;139990.0
56;57.0;3.0;;15000.0;10.0;10.0;2.0;10.67;10.43;43.82;0.38;0.15;0.05;47.4815;7777.651;1.0;12.1981325;150000.0
57;58.0;3.0;;16000.0;10.0;10.0;2.0;11.87;11.52;45.4;0.35;0.15;0.05;52.8215;8590.464;1.0;13.243687;160000.0
58;59.0;3.0;;17000.0;10.0;10.0;2.0;13.09;12.52;46.4;0.32;0.14;0.05;58.2505;9336.164;1.0;13.061172;170000.0
59;60.0;3.0;;18000.0;10.0;10.0;2.0;14.47;14.49;50.75;0.31;0.14;0.05;64.3915;10805.193;1.0;13.4825;180000.0
60;2071.0;117.0;E;11000.0;13.0;4.0;2.0;8.18;0.91;5.2;0.02;0.08;0.09;36.401;678.587;0.31;80.0;143000.0
61;2072.0;117.0;E;12000.0;13.0;4.0;2.0;9.91;1.21;6.37;0.02;0.08;0.09;44.0995;902.297;0.31;80.0;156000.0
62;2073.0;117.0;E;13000.0;13.0;4.0;2.0;11.86;1.57;7.63;0.02;0.08;0.09;52.777;1170.749;0.31;80.0;169000.0
