LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
1;1;NULL;1000;10.5;4.5;2;0.03;0.01;0.02;0.03;0.08;0.06;0.1335;7.457;0.43;60.18022225;10500
2;1;NULL;2000;10.5;4.5;2;0.13;0.01;0.08;0.03;0.08;0.06;0.5785;7.457;0.43;60.18022225;21000
3;1;NULL;3000;10.5;4.5;2;0.29;0.01;0.17;0.03;0.08;0.06;1.2905;7.457;0.43;60.18022225;31500
4;1;NULL;4000;10.5;4.5;2;0.52;0.02;0.3;0.03;0.08;0.06;2.314;14.914;0.43;60.18022225;42000
5;1;NULL;5000;10.5;4.5;2;0.81;0.04;0.47;0.03;0.08;0.06;3.6045;29.828;0.43;60.18022225;52500
6;1;NULL;6000;10.5;4.5;2;1.17;0.06;0.68;0.03;0.08;0.06;5.2065;44.742;0.43;60.18022225;63000
7;1;NULL;7000;10.5;4.5;2;1.6;0.1;0.91;0.03;0.08;0.06;7.12;74.57;0.43;60.18022225;73500
8;1;NULL;8000;10.5;4.5;2;2.1;0.15;1.17;0.03;0.08;0.06;9.345;111.855;0.43;60.18022225;84000
9;1;NULL;9000;10.5;4.5;2;2.66;0.21;1.47;0.03;0.08;0.06;11.837;156.597;0.43;60.18022225;94500
10;1;NULL;10000;10.5;4.5;2;3.31;0.29;1.81;0.03;0.09;0.06;14.7295;216.253;0.43;71.80961047;105000
11;1;NULL;11000;10.5;4.5;2;4.05;0.42;2.41;0.03;0.09;0.06;18.0225;313.194;0.43;71.80961047;115500
12;1;NULL;12000;10.5;4.5;2;4.87;0.6;3.15;0.03;0.09;0.06;21.6715;447.42;0.43;71.80961047;126000
13;1;NULL;13000;10.5;4.5;2;5.79;0.83;4.05;0.04;0.09;0.06;25.7655;618.931;0.43;53.85720785;136500
14;1;NULL;13999;10.5;4.5;2;6.8;1.15;5.16;0.04;0.09;0.06;30.26;857.555;0.43;53.85720785;146989.5
15;1;NULL;15000;10.5;4.5;2;7.91;1.56;6.57;0.05;0.09;0.06;35.1995;1163.292;0.43;43.08576628;157500
16;1;NULL;16000;10.5;4.5;2;9.1;2.12;8.36;0.05;0.09;0.06;40.495;1580.884;0.43;43.08576628;168000
17;1;NULL;17000;10.5;4.5;2;10.42;2.93;10.88;0.06;0.09;0.06;46.369;2184.901;0.43;35.90480524;178500
18;1;NULL;18000;10.5;4.5;2;11.99;5.11;17.91;0.09;0.1;0.06;53.3555;3810.527;0.43;28.0348058;189000
19;1;NULL;19000;10.5;4.5;2;13.56;7.51;24.9;0.11;0.1;0.06;60.342;5600.207;0.43;22.93756838;199500
20;1;NULL;20000;10.5;4.5;2;15;8.83;27.82;0.11;0.1;0.06;66.75;6584.531;0.43;22.93756838;210000
21;1;NULL;21000;10.5;4.5;2;16.49;11.99;35.99;0.13;0.1;0.06;73.3805;8940.943;0.43;19.40871171;220500
22;1;NULL;22000;10.5;4.5;2;17.37;9.31;26.66;0.09;0.09;0.06;77.2965;6942.467;0.43;23.93653682;231000
23;1;NULL;23000;10.5;4.5;2;18.51;9.81;26.88;0.08;0.09;0.06;82.3695;7315.317;0.43;26.92860393;241500
24;2;NULL;1000;10.5;6;2;0.05;0.01;0.03;0.05;0.12;0.06;0.2225;7.457;0.57;66.3348767;10500
25;2;NULL;2000;10.5;6;2;0.18;0.01;0.13;0.05;0.12;0.06;0.801;7.457;0.57;66.3348767;21000
26;2;NULL;3000;10.5;6;2;0.4;0.02;0.3;0.05;0.12;0.06;1.78;14.914;0.57;66.3348767;31500
27;2;NULL;4000;10.5;6;2;0.72;0.03;0.53;0.05;0.12;0.06;3.204;22.371;0.57;66.3348767;42000
28;2;NULL;5000;10.5;6;2;1.12;0.06;0.81;0.05;0.12;0.06;4.984;44.742;0.57;66.3348767;52500
29;2;NULL;6000;10.5;6;2;1.62;0.11;1.13;0.05;0.12;0.06;7.209;82.027;0.57;66.3348767;63000
30;2;NULL;7000;10.5;6;2;2.21;0.17;1.56;0.05;0.12;0.06;9.8345;126.769;0.57;66.3348767;73500
31;2;NULL;8000;10.5;6;2;2.93;0.31;2.41;0.06;0.12;0.06;13.0385;231.167;0.57;55.27906392;84000
32;2;NULL;9000;10.5;6;2;3.75;0.5;3.51;0.07;0.12;0.06;16.6875;372.85;0.57;47.38205478;94500
33;2;NULL;10000;10.5;6;2;4.69;0.78;4.9;0.08;0.12;0.06;20.8705;581.646;0.57;41.45929794;105000
34;2;NULL;11000;10.5;6;2;5.74;1.16;6.65;0.08;0.12;0.06;25.543;865.012;0.57;41.45929794;115500
35;2;NULL;12000;10.5;6;2;6.91;1.68;8.81;0.09;0.12;0.06;30.7495;1252.776;0.57;36.85270928;126000
36;2;NULL;13000;10.5;6;2;8.21;2.38;11.54;0.11;0.13;0.06;36.5345;1774.766;0.57;33.99870731;136500
37;2;NULL;13999;10.5;6;2;9.58;3.13;14.11;0.11;0.13;0.06;42.631;2334.041;0.57;33.99870731;146989.5
38;2;NULL;15000;10.5;6;2;10.96;3.66;15.36;0.11;0.13;0.06;48.772;2729.262;0.57;33.99870731;157500
39;2;NULL;16000;10.5;6;2;12.41;4.22;16.64;0.1;0.13;0.06;55.2245;3146.854;0.57;37.39857805;168000
40;2;NULL;17000;10.5;6;2;13.99;5.42;20.09;0.11;0.12;0.06;62.2555;4041.694;0.57;30.15221668;178500
41;2;NULL;18000;10.5;6;2;15.6;6.16;21.56;0.1;0.12;0.06;69.42;4593.512;0.57;33.16743835;189000
42;2;NULL;19000;10.5;6;2;17.26;6.57;21.79;0.09;0.12;0.06;76.807;4899.249;0.57;36.85270928;199500
43;3;NULL;1000;10;10;2;0.04;0.01;0.04;0.08;0.12;0.05;0.178;7.457;1;41.45929794;10000
44;3;NULL;2000;10;10;2;0.16;0.01;0.16;0.08;0.12;0.05;0.712;7.457;1;41.45929794;20000
45;3;NULL;3000;10;10;2;0.35;0.02;0.35;0.08;0.12;0.05;1.5575;14.914;1;41.45929794;30000
46;3;NULL;4000;10;10;2;0.62;0.04;0.62;0.08;0.12;0.05;2.759;29.828;1;41.45929794;40000
47;3;NULL;5000;10;10;2;0.97;0.07;0.94;0.07;0.12;0.05;4.3165;52.199;1;47.38205478;50000
48;3;NULL;6000;10;10;2;1.39;0.12;1.26;0.07;0.12;0.05;6.1855;89.484;1;47.38205478;60000
49;3;NULL;7000;10;10;2;1.88;0.18;1.6;0.06;0.12;0.05;8.366;134.226;1;55.27906392;70000
50;3;NULL;8000;10;10;2;2.49;0.34;2.7;0.08;0.12;0.05;11.0805;253.538;1;41.45929794;80000
51;3;NULL;9000;10;10;2;3.27;0.76;5.33;0.13;0.13;0.05;14.5515;566.732;1;28.76813696;90000
52;3;NULL;10000;10;10;2;4.16;1.4;8.8;0.17;0.13;0.05;18.512;1043.98;1;21.99916356;100000
53;3;NULL;11000;10;10;2;5.18;2.31;13.21;0.22;0.13;0.05;23.051;1722.567;1;16.99935366;110000
54;3;NULL;12000;10;10;2;6.33;3.56;18.72;0.26;0.14;0.05;28.1685;2654.692;1;16.07528817;120000
55;3;NULL;13000;10;10;2;7.62;5.26;25.49;0.3;0.14;0.05;33.909;3922.382;1;13.93191642;130000
56;3;NULL;13999;10;10;2;9.06;7.5;33.76;0.34;0.15;0.05;40.317;5592.75;1;13.63320713;139990
57;3;NULL;15000;10;10;2;10.67;10.43;43.82;0.38;0.15;0.05;47.4815;7777.651;1;12.1981327;150000
58;3;NULL;16000;10;10;2;11.87;11.52;45.4;0.35;0.15;0.05;52.8215;8590.464;1;13.24368693;160000
59;3;NULL;17000;10;10;2;13.09;12.52;46.4;0.32;0.14;0.05;58.2505;9336.164;1;13.06117164;170000
60;3;NULL;18000;10;10;2;14.47;14.49;50.75;0.31;0.14;0.05;64.3915;10805.193;1;13.48249976;180000
2071;117;E;11000;13;4;2;8.18;0.91;5.2;0.02;0.08;0.09;36.401;678.587;0.31;80;143000
2072;117;E;12000;13;4;2;9.91;1.21;6.37;0.02;0.08;0.09;44.0995;902.297;0.31;80;156000
2073;117;E;13000;13;4;2;11.86;1.57;7.63;0.02;0.08;0.09;52.777;1170.749;0.31;80;169000
2074;117;E;13999;13;4;2;14.09;2;9.02;0.02;0.08;0.09;62.7005;1491.4;0.31;80;181987
67;4;E;7000;10;10;2;1.83;0.17;1.56;0.06;0.12;0.05;8.1435;126.769;1;48.98979486;70000
68;4;E;8000;10;10;2;2.38;0.25;1.94;0.06;0.12;0.05;10.591;186.425;1;48.98979486;80000
69;4;E;9000;10;10;2;3.01;0.35;2.47;0.06;0.12;0.05;13.3945;260.995;1;48.98979486;90000
61;4;E;1000;10;10;2;0.04;0.01;0.04;0.07;0.12;0.05;0.178;7.457;1;41.99125273;10000
62;4;E;2000;10;10;2;0.15;0.01;0.14;0.07;0.12;0.05;0.6675;7.457;1;41.99125273;20000
63;4;E;3000;10;10;2;0.34;0.02;0.31;0.07;0.12;0.05;1.513;14.914;1;41.99125273;30000
64;4;E;4000;10;10;2;0.6;0.04;0.56;0.07;0.12;0.05;2.67;29.828;1;41.99125273;40000
65;4;E;5000;10;10;2;0.94;0.07;0.88;0.07;0.12;0.05;4.183;52.199;1;41.99125273;50000
4526;312;E;7000;25;12.5;2;58.01;9.33;83.99;0.03;0.1;0.32;258.1445;6957.381;0.5;74.53559925;175000
66;4;E;6000;10;10;2;1.35;0.12;1.22;0.07;0.12;0.05;6.0075;89.484;1;41.99125273;60000
70;4;E;10000;10;10;2;3.83;0.75;4.74;0.09;0.12;0.05;17.0435;559.275;1;32.65986324;100000
71;4;E;11000;10;10;2;4.75;1.34;7.69;0.13;0.12;0.05;21.1375;999.238;1;22.61067455;110000
72;4;E;12000;10;10;2;5.79;2.17;11.41;0.16;0.13;0.05;25.7655;1618.169;1;20.71476677;120000
73;4;E;13000;10;10;2;6.96;3.32;16.11;0.19;0.13;0.05;30.972;2475.724;1;17.44401413;130000
74;4;E;13999;10;10;2;8.26;4.84;21.78;0.22;0.13;0.05;36.757;3609.188;1;15.06528493;139990
81;5;NULL;1000;10;3;2;0.03;0.01;0.01;0.03;0.08;0.05;0.1335;7.457;0.3;60.18022225;10000
82;5;NULL;2000;10;3;2;0.1;0.01;0.05;0.03;0.08;0.05;0.445;7.457;0.3;60.18022225;20000
83;5;NULL;3000;10;3;2;0.22;0.01;0.12;0.03;0.08;0.05;0.979;7.457;0.3;60.18022225;30000
84;5;NULL;4000;10;3;2;0.4;0.01;0.21;0.03;0.08;0.05;1.78;7.457;0.3;60.18022225;40000
85;5;NULL;5000;10;3;2;0.62;0.03;0.33;0.03;0.08;0.05;2.759;22.371;0.3;60.18022225;50000
86;5;NULL;6000;10;3;2;0.89;0.04;0.46;0.03;0.08;0.05;3.9605;29.828;0.3;60.18022225;60000
87;5;NULL;7000;10;3;2;1.22;0.07;0.62;0.02;0.08;0.05;5.429;52.199;0.3;90.27033337;70000
88;5;NULL;8000;10;3;2;1.6;0.1;0.79;0.02;0.08;0.05;7.12;74.57;0.3;90.27033337;80000
89;5;NULL;9000;10;3;2;2.04;0.14;1.01;0.02;0.08;0.05;9.078;104.398;0.3;90.27033337;90000
90;5;NULL;10000;10;3;2;2.54;0.2;1.26;0.02;0.08;0.05;11.303;149.14;0.3;90.27033337;100000
91;5;NULL;11000;10;3;2;3.09;0.27;1.54;0.03;0.08;0.05;13.7505;201.339;0.3;60.18022225;110000
92;5;NULL;12000;10;3;2;3.71;0.35;1.86;0.03;0.08;0.05;16.5095;260.995;0.3;60.18022225;120000
93;5;NULL;13000;10;3;2;4.4;0.46;2.21;0.03;0.08;0.05;19.58;343.022;0.3;60.18022225;130000
94;5;NULL;13999;10;3;2;5.16;0.58;2.61;0.03;0.08;0.05;22.962;432.506;0.3;60.18022225;139990
105;6;SF;2000;10;3.8;2;0.17;0.01;0.11;0.06;0.13;0.05;0.7565;7.457;0.38;62.33096341;20000
95;5;NULL;15000;10;3;2;6;0.73;3.06;0.03;0.08;0.05;26.7;544.361;0.3;60.18022225;150000
96;5;NULL;16000;10;3;2;6.93;0.9;3.55;0.03;0.09;0.05;30.8385;671.13;0.3;71.80961047;160000
97;5;NULL;17000;10;3;2;7.95;1.1;4.07;0.03;0.09;0.05;35.3775;820.27;0.3;71.80961047;170000
98;5;NULL;18000;10;3;2;9.1;1.33;4.66;0.03;0.09;0.05;40.495;991.781;0.3;71.80961047;180000
99;5;NULL;19000;10;3;2;10.47;1.64;5.44;0.03;0.09;0.05;46.5915;1222.948;0.3;71.80961047;190000
100;5;NULL;20000;10;3;2;12.41;2.27;7.14;0.04;0.1;0.05;55.2245;1692.739;0.3;63.07831305;200000
101;5;NULL;21000;10;3;2;14.46;3.08;9.25;0.04;0.1;0.05;64.347;2296.756;0.3;63.07831305;210000
102;5;NULL;22000;10;3;2;15.83;3.82;10.94;0.04;0.1;0.05;70.4435;2848.574;0.3;63.07831305;220000
103;5;NULL;23000;10;3;2;17.08;4.5;12.34;0.05;0.1;0.05;76.006;3355.65;0.3;50.46265044;230000
104;5;NULL;24000;10;3;2;17.77;5.36;14.08;0.05;0.1;0.05;79.0765;3996.952;0.3;50.46265044;240000
106;6;SF;3000;10;3.8;2;0.37;0.01;0.25;0.05;0.13;0.05;1.6465;7.457;0.38;74.79715609;30000
107;6;SF;4000;10;3.8;2;0.65;0.03;0.44;0.05;0.13;0.05;2.8925;22.371;0.38;74.79715609;40000
108;6;SF;5000;10;3.8;2;1.01;0.05;0.67;0.05;0.13;0.05;4.4945;37.285;0.38;74.79715609;50000
109;6;SF;6000;10;3.8;2;1.46;0.09;0.95;0.05;0.13;0.05;6.497;67.113;0.38;74.79715609;60000
110;6;SF;7000;10;3.8;2;1.99;0.14;1.31;0.05;0.13;0.05;8.8555;104.398;0.38;74.79715609;70000
111;6;SF;8000;10;3.8;2;2.61;0.22;1.73;0.05;0.13;0.05;11.6145;164.054;0.38;74.79715609;80000
112;6;SF;9000;10;3.8;2;3.32;0.32;2.22;0.05;0.13;0.05;14.774;238.624;0.38;74.79715609;90000
113;6;SF;10000;10;3.8;2;4.12;0.44;2.78;0.05;0.13;0.05;18.334;328.108;0.38;74.79715609;100000
114;6;SF;11000;10;3.8;2;5.01;0.6;3.42;0.06;0.13;0.05;22.2945;447.42;0.38;62.33096341;110000
115;6;SF;12000;10;3.8;2;6;0.78;4.12;0.06;0.13;0.05;26.7;581.646;0.38;62.33096341;120000
116;6;SF;13000;10;3.8;2;7.13;1;4.84;0.06;0.13;0.05;31.7285;745.7;0.38;62.33096341;130000
117;6;SF;13999;10;3.8;2;8.33;1.25;5.61;0.06;0.13;0.05;37.0685;932.125;0.38;62.33096341;139990
124;7;NULL;1000;10;4;2;0.03;0.01;0.02;0.04;0.1;0.05;0.1335;7.457;0.4;63.07831305;10000
118;6;SF;15000;10;3.8;2;9.67;1.54;6.48;0.06;0.13;0.05;43.0315;1148.378;0.38;62.33096341;150000
119;6;SF;16000;10;3.8;2;11.14;1.89;7.44;0.06;0.14;0.05;49.573;1409.373;0.38;69.65958208;160000
