;TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Weight_g;Max_burst_current_A;Volume_mm3;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Pvol_Wh_m3;Energy_J;M_[g]*;Lower values;Dominant values
15;GENS ACE;GENS ACE;22.2;6200;60;120;876;372.0;403425.0;157.1232877;744.0;18854.79452;341178.6577;495504.0;899.9117647058823;1.0;-1.0
16;KOKAM;KOKAM SLPB526495;3.7;3300;2;3;67;;33262.65;182.238806;9.9;546.7164179;367078.3897;43956.0;79.83088235294117;1.0;-1.0
17;KOKAM;KOKAM SLPB050106100;3.7;5000;2;5;120;;64392.6;154.16666669999998;25.0;770.8333332999999;287300.0935;66600.0;120.95588235294119;1.0;-1.0
19;KOKAM;KOKAM SLPB68106100;3.7;8000;2;3;160;;79126.5;185.0;24.0;555.0;374084.5355;106560.0;193.52941176470588;1.0;-1.0
20;KOKAM;KOKAM SLPB7570180;3.7;9600;2;3;215;;114045.6;165.2093023;28.8;495.62790700000005;311454.3656;127872.0;232.23529411764707;1.0;-1.0
23;KOKAM;KOKAM SLPB125255255;3.7;87000;2;3;1780;;923260.0;180.8426966;261.0;542.5280899;348655.8499;1158840.0;2104.6323529411766;1.0;-1.0
24;KOKAM;KOKAM SLPB70460330;3.7;100000;2;3;2070;;1057518.0;178.74396140000002;300.0;536.2318841;349875.8414;1332000.0;2419.1176470588234;1.0;-1.0
25;KOKAM;KOKAM SLPB120460330;3.7;150000;2;3;3210;;1586277.0;172.89719630000002;450.0;518.6915888;349875.8414;1998000.0;3628.676470588235;1.0;-1.0
26;KOKAM;KOKAM SLPB140460330;3.7;200000;2;3;4180;;2099928.6;177.0334928;600.0;531.1004785;352392.9337;2664000.0;4838.235294117647;1.0;-1.0
27;KOKAM;KOKAM SLPB160460330H;3.7;200000;2;3;4580;;2235895.2;161.5720524;600.0;484.7161572;330963.6337;2664000.0;4838.235294117647;1.0;-1.0
28;KOKAM;KOKAM SLPB160460330;3.7;240000;2;3;4780;;2386969.2;185.7740586;720.0;557.3221757;372019.8819;3196800.0;5805.882352941177;1.0;-1.0
35;ProLiteX;TP1350-2SPX25J;7.4;1350;25;50;61;67.5;30056.0;163.7704918;67.5;8188.524590000001;332379.5582;35964.0;65.31617647058823;1.0;-1.0
36;ProLiteX;TP1350-3SPX25J;11.1;1350;25;50;94;67.5;46240.0;159.4148936;67.5;7970.744681;324070.0692;53946.0;97.97426470588235;1.0;-1.0
37;ProLiteX;TP1350-2SPX25;7.4;1350;25;50;64;67.5;30056.0;156.09375;67.5;7804.6875;332379.5582;35964.0;65.31617647058823;1.0;-1.0
38;ProLiteX;TP1350-3SPX25;11.1;1350;25;50;95;67.5;46240.0;157.7368421;67.5;7886.842105;324070.0692;53946.0;97.97426470588235;1.0;-1.0
39;ProLiteX;TP1350-4SPX25;14.8;1350;25;50;126;67.5;60112.0;158.5714286;67.5;7928.5714290000005;332379.5582;71928.0;130.63235294117646;1.0;-1.0
40;ProLiteX;TP1350-5SPX25;18.5;1350;25;50;157;67.5;73984.0;159.0764331;67.5;7953.821656;337572.9888;89910.0;163.29044117647058;1.0;-1.0
42;ProLiteX;TP2200-3SPX25;11.1;2200;25;50;151;110.0;74970.0;161.72185430000002;110.0;8086.092715000001;325730.2921;87912.0;159.66176470588235;1.0;-1.0
43;ProLiteX;TP2200-4SPX25;14.8;2200;25;50;197;110.0;96390.0;165.27918780000002;110.0;8263.959391;337794.37700000004;117216.0;212.8823529411765;1.0;-1.0
45;ProLiteX;TP2800-3SPX25;11.1;2800;25;50;181;140.0;83232.0;171.71270719999998;140.0;8585.635359;373414.0715;111888.0;203.2058823529412;1.0;-1.0
46;ProLiteX;TP2800-3SPX25EJ;11.1;2800;25;50;181;140.0;83232.0;171.71270719999998;140.0;8585.635359;373414.0715;111888.0;203.2058823529412;1.0;-1.0
47;ProLiteX;TP2800-3SPX25XJ;11.1;2800;25;50;181;140.0;83232.0;171.71270719999998;140.0;8585.635359;373414.0715;111888.0;203.2058823529412;1.0;-1.0
53;ProLiteX;TP3400-4SPX25;14.8;3400;25;50;326;170.0;150930.0;154.3558282;170.0;7717.791411;333399.5892;181152.0;329.0;1.0;-1.0
54;ProLiteX;TP3400-5SPX25;18.5;3400;25;50;407;170.0;185760.0;154.5454545;170.0;7727.272727;338608.9578;226440.0;411.25;1.0;-1.0
55;ProLiteX;TP3400-6SPX25;22.2;3400;25;50;478;170.0;220590.0;157.9079498;170.0;7895.39749;342173.2626;271728.0;493.5;1.0;-1.0
56;ProLiteX;TP3400-6SPX25L;22.2;3400;25;50;488;170.0;221407.0;154.6721311;170.0;7733.606556999999;340910.6306;271728.0;493.5;1.0;-1.0
57;ProLiteX;TP3400-7SPX25;25.9;3400;25;50;546;170.0;255420.0;161.2820513;170.0;8064.102564;344765.4843;317016.0;575.75;1.0;-1.0
58;ProLiteX;TP3400-8SPX25;29.6;3400;25;50;611;170.0;290250.0;164.7135843;170.0;8235.679214;346735.5728;362304.0;658.0;1.0;-1.0
59;ProLiteX;TP3400-8SPX25L;29.6;3400;25;50;621;170.0;302978.0;162.0611916;170.0;8103.059581;332169.3324;362304.0;658.0;1.0;-1.0
61;ProLiteX;TP4000-3SPX25;11.1;4000;25;50;269;200.0;111384.0;165.0557621;200.0;8252.788104000001;398620.9869;159840.0;290.29411764705884;1.0;-1.0
62;ProLiteX;TP4000-4SPX25;14.8;4000;25;50;356;200.0;148512.0;166.2921348;200.0;8314.606742;398620.9869;213120.0;387.05882352941177;1.0;-1.0
63;ProLiteX;TP4000-5SPX25;18.5;4000;25;50;435;200.0;185640.0;170.1149425;200.0;8505.747126;398620.9869;266400.0;483.82352941176475;1.0;-1.0
67;ProLiteX;TP4000-8SPX25L;29.6;4000;25;50;712;200.0;297024.0;166.2921348;200.0;8314.606742;398620.9869;426240.0;774.1176470588235;1.0;-1.0
72;ProLiteX;TP4400-2SPX25;7.4;4400;25;50;205;220.0;93568.0;158.82926830000002;220.0;7941.463415;347982.2161;117216.0;212.8823529411765;1.0;-1.0
73;ProLiteX;TP4400-3SPX25;11.1;4400;25;50;306;220.0;140352.0;159.6078431;220.0;7980.392156999999;347982.2161;175824.0;319.3235294117647;1.0;-1.0
75;ProLiteX;TP4400-5SPX25;18.5;4400;25;50;505;220.0;233920.0;161.1881188;220.0;8059.405941;347982.2161;293040.0;532.2058823529412;1.0;-1.0
76;ProLiteX;TP4400-6SPX25;22.2;4400;25;50;601;220.0;280704.0;162.52911809999998;220.0;8126.455907;347982.2161;351648.0;638.6470588235294;1.0;-1.0
80;ProLiteX;TP4400-9SPX25;33.3;4400;25;50;902;220.0;415208.0;162.4390244;220.0;8121.95122;352883.3741;527472.0;957.970588235294;1.0;-1.0
81;ProLiteX;TP4400-10SPX25;37.0;4400;25;50;994;220.0;456144.0;163.78269619999998;220.0;8189.134809;356904.8371;586080.0;1064.4117647058824;1.0;-1.0
82;ProLiteX;TP5000-2SPX25;7.4;5000;25;50;237;250.0;111112.0;156.1181435;250.0;7805.9071730000005;332997.336;133200.0;241.91176470588238;1.0;-1.0
83;ProLiteX;TP5000-3SPX25;11.1;5000;25;50;349;250.0;163744.0;159.02578799999998;250.0;7951.289398000001;338943.717;199800.0;362.86764705882354;1.0;-1.0
84;ProLiteX;TP5000-4SPX25;14.8;5000;25;50;465;250.0;216376.0;159.13978490000002;250.0;7956.9892469999995;341997.26399999997;266400.0;483.82352941176475;1.0;-1.0
85;ProLiteX;TP5000-5SPX25;18.5;5000;25;50;574;250.0;269008.0;161.1498258;250.0;8057.4912890000005;343855.9448;333000.0;604.7794117647059;1.0;-1.0
86;ProLiteX;TP5000-6SPX25L;22.2;5000;25;50;705;250.0;327488.0;157.4468085;250.0;7872.340426000001;338943.717;399600.0;725.7352941176471;1.0;-1.0
87;ProLiteX;TP5000-7SPX25;25.9;5000;25;50;813;250.0;374272.0;159.2865929;250.0;7964.329643000001;346005.0445;466200.0;846.6911764705883;1.0;-1.0
88;ProLiteX;TP5000-8SPX25;29.6;5000;25;50;930;250.0;432752.0;159.13978490000002;250.0;7956.9892469999995;341997.26399999997;532800.0;967.6470588235295;1.0;-1.0
89;ProLiteX;TP5000-8SPX25L;29.6;5000;25;50;940;250.0;432752.0;157.4468085;250.0;7872.340426000001;341997.26399999997;532800.0;967.6470588235295;1.0;-1.0
90;ProLiteX;TP5000-9SPX25;33.3;5000;25;50;1046;250.0;479536.0;159.1778203;250.0;7958.8910129999995;347210.6369;599400.0;1088.6029411764705;1.0;-1.0
91;ProLiteX;TP5000-10SPX25;37.0;5000;25;50;1162;250.0;538016.0;159.2082616;250.0;7960.413081000001;343855.9448;666000.0;1209.5588235294117;1.0;-1.0
92;ProLiteX;TP5000-10SPX25L;37.0;5000;25;50;1172;250.0;538016.0;157.8498294;250.0;7892.491468000001;343855.9448;666000.0;1209.5588235294117;1.0;-1.0
93;ProLiteX;TP6000-2SPX25;7.4;6000;25;50;256;300.0;117936.0;173.4375;300.0;8671.875;376475.3765;159840.0;290.29411764705884;1.0;-1.0
96;ProLiteX;TP6000-5SPX25;18.5;6000;25;50;638;300.0;281736.0;173.98119119999998;300.0;8699.059561;393985.8591;399600.0;725.7352941176471;1.0;-1.0
98;ProLiteX;TP6800-2SPX25;7.4;6800;25;50;326;340.0;148350.0;154.3558282;340.0;7717.791411;339197.8429;181152.0;329.0;1.0;-1.0
99;ProLiteX;TP6800-3SPX25;11.1;6800;25;50;484;340.0;225492.0;155.95041319999999;340.0;7797.520661;334734.7134;271728.0;493.5;1.0;-1.0
100;ProLiteX;TP6800-4SPX25;14.8;6800;25;50;619;340.0;296700.0;162.5848142;340.0;8129.240711;339197.8429;362304.0;658.0;1.0;-1.0
101;ProLiteX;TP6800-5SPX25;18.5;6800;25;50;771;340.0;367908.0;163.16472109999998;340.0;8158.236056999999;341933.3094;452880.0;822.5;1.0;-1.0
103;ProLiteX;TP8000-2SPX25;7.4;8000;25;50;350;400.0;167356.0;169.1428571;400.0;8457.142856999999;353736.94399999996;213120.0;387.05882352941177;1.0;-1.0
