TYPE;diameter[mm];R[Ohm/m];Imax[A];Mass[kg];r*;M*;Er;
Wire;0.51;0.088;3.5;0.001830367;0.492713592;0.00170839;0.033894919;0.033894918
Wire;0.64;0.052;5;0.002882424;0.624974814;0.002748672;0.023476853;
Wire;0.81;0.034;6;0.004617086;0.70574858;0.00350508;0.128705456;
Wire;1;0.022;9.5;0.007037168;0.958734266;0.006468363;0.041265734;
Wire;1.3;0.013;15;0.011892813;1.3;0.011892813;1.71E-16;
Wire;1.6;0.0085;24;0.018015149;1.778374985;0.02225587;0.111484365;
Wire;2.1;0.0054;34;0.031033909;2.243202383;0.035410724;0.068191611;
Wire;2.6;0.0034;52;0.047571253;2.977726062;0.062397527;0.145279255;
Wire;3.3;0.0022;75;0.076634755;3.80122306;0.101682122;0.151885776;
Wire;4.1;0.0015;95;0.118294786;4.450050264;0.139356658;0.085378113;
Wire;5.2;0.0008;120;0.19028501;5.2;0.19028501;0;
Wire;6.5;0.0005;170;0.297320329;6.559163558;0.302757431;0.009102086;
Wire;7.4;0.0004;180;0.385355295;6.813927625;0.326732942;0.07919897;
Wire;8.3;0.00031;200;0.484790472;7.309749766;0.376013043;0.119307257;
Wire;9.3;0.00025;225;0.608644621;7.906862594;0.43995299;0.149799721;
Wire;10.4;0.0002;275;0.761140042;9.038665383;0.574918797;0.130897559;
Wire;11.7;0.00016;325;0.963317865;10.1034901;0.718357666;0.136453838;
;;;;;;MEAN;0.083195383;
;;;;;;DESVEST;0.055694434;
;;;;;;;;
;;;;;;;;
;;;;0.954738491;;;;
