TYPE;J;CT;CP;Eta
APC-E-9x4.5;0.16;0.0792;0.0386;0.328
APC-E-9x4.5;0.195;0.0729;0.0375;0.381
APC-E-9x4.5;0.234;0.0656;0.0356;0.432
APC-E-9x4.5;0.278;0.0578;0.0333;0.482
APC-E-9x4.5;0.315;0.0524;0.0316;0.522
APC-E-9x4.5;0.369;0.0445;0.0292;0.563
APC-E-9x4.5;0.397;0.0405;0.0277;0.582
APC-E-9x4.5;0.443;0.0337;0.0251;0.595
APC-E-9x4.5;0.487;0.0262;0.0218;0.585
APC-E-9x4.5;0.527;0.0196;0.0189;0.548
APC-E-9x4.5;0.564;0.0128;0.0156;0.461
APC-E-9x4.5;0.602;0.0057;0.0121;0.285
APC-E-9x4.5;0.654;-0.0038;0.0075;-0.336
APC-E-9x4.5;0.129;0.0888;0.0399;0.286
APC-E-9x4.5;0.161;0.084;0.0396;0.341
APC-E-9x4.5;0.193;0.0787;0.0389;0.391
APC-E-9x4.5;0.224;0.0732;0.0378;0.433
APC-E-9x4.5;0.26;0.0662;0.0362;0.475
APC-E-9x4.5;0.29;0.0605;0.0345;0.508
APC-E-9x4.5;0.32;0.0545;0.0326;0.536
APC-E-9x4.5;0.354;0.049;0.0308;0.563
APC-E-9x4.5;0.388;0.0434;0.0288;0.585
APC-E-9x4.5;0.412;0.0396;0.0273;0.598
APC-E-9x4.5;0.448;0.0338;0.025;0.606
APC-E-9x4.5;0.481;0.0283;0.0227;0.599
APC-E-9x4.5;0.507;0.024;0.0208;0.585
APC-E-9x4.5;0.547;0.0172;0.0176;0.533
APC-E-9x4.5;0.576;0.0118;0.015;0.452
APC-E-9x4.5;0.608;0.0062;0.0121;0.311
APC-E-9x4.5;0.641;-0.0001;0.0089;-0.01
APC-E-9x4.5;0.108;0.0939;0.0401;0.252
APC-E-9x4.5;0.133;0.0915;0.0404;0.302
APC-E-9x4.5;0.16;0.0884;0.0406;0.348
APC-E-9x4.5;0.189;0.084;0.0402;0.394
APC-E-9x4.5;0.213;0.0803;0.0398;0.431
APC-E-9x4.5;0.24;0.0754;0.0389;0.466
APC-E-9x4.5;0.27;0.0692;0.0374;0.5
APC-E-9x4.5;0.296;0.0638;0.0359;0.526
APC-E-9x4.5;0.321;0.0588;0.0344;0.549
APC-E-9x4.5;0.347;0.0533;0.0326;0.568
APC-E-9x4.5;0.375;0.048;0.0307;0.587
APC-E-9x4.5;0.4;0.0437;0.029;0.603
APC-E-9x4.5;0.424;0.0397;0.0274;0.613
APC-E-9x4.5;0.454;0.0346;0.0254;0.618
APC-E-9x4.5;0.476;0.031;0.0239;0.619
APC-E-9x4.5;0.507;0.0252;0.0213;0.598
APC-E-9x4.5;0.529;0.0213;0.0196;0.576
APC-E-9x4.5;0.394;0.0473;0.0307;0.606
APC-E-9x4.5;0.416;0.0431;0.0289;0.62
APC-E-9x4.5;0.439;0.0391;0.0275;0.624
APC-E-9x4.5;0.462;0.0352;0.0259;0.628
APC-E-9x4.5;0.487;0.0307;0.0239;0.625
APC-E-9x4.5;0.509;0.0268;0.0222;0.613
APC-E-9x4.5;0.534;0.0224;0.0201;0.593
APC-E-9x4.5;0.56;0.0176;0.0178;0.554
APC-E-9x4.5;0.581;0.014;0.016;0.507
APC-E-9x4.5;0.606;0.0092;0.0135;0.413
APC-E-9x4.5;0.628;0.0052;0.0113;0.288
APC-E-9x4.5;0.653;0.0003;0.0086;0.026
APC-E-9x4.5;0.672;-0.0033;0.0065;-0.344
APC-E-9x4.5;0.091;0.0971;0.0403;0.22
